time,x_in,y_out,d_in,err,w0,w1,w2,w3
1610000, -2408,-11190,          0,          0,  4456,  4027,  3206,  2262
1620000, -1266, -8491,          0,          0,  4456,  4027,  3206,  2262
1630000,     0, -4960,          0,          0,  4456,  4027,  3206,  2262
1640000,  1266,  -944,          0,          0,  4456,  4027,  3206,  2262
1650000,  2408,  3165,          0,          0,  4456,  4027,  3206,  2262
1660000,  3314,  6963,          0,          0,  4456,  4027,  3206,  2262
1670000,  3896, 10080,          0,          0,  4456,  4027,  3206,  2262
1680000,  4096, 12210,          0,          0,  4456,  4027,  3206,  2262
1690000,  3896, 13145,          0,          0,  4456,  4027,  3206,  2262
1700000,  3314, 12793,          0,          0,  4456,  4027,  3206,  2262
1710000,  2408, 11189,          0,          0,  4456,  4027,  3206,  2262
1720000,  1266,  8490,          0,          0,  4456,  4027,  3206,  2262
1730000,     0,  4959,          0,          0,  4456,  4027,  3206,  2262
1740000, -1266,   943,          0,          0,  4456,  4027,  3206,  2262
1750000, -2408, -3166,          0,          0,  4456,  4027,  3206,  2262
1760000, -3314, -6964,          0,          0,  4456,  4027,  3206,  2262
1770000, -3896,-10081,          0,          0,  4456,  4027,  3206,  2262
1780000, -4096,-12211,          0,          0,  4456,  4027,  3206,  2262
1790000, -3896,-13146,          0,          0,  4456,  4027,  3206,  2262
1800000, -3314,-12794,          0,          0,  4456,  4027,  3206,  2262
1810000, -2408,-11190,          0,          0,  4456,  4027,  3206,  2262
1820000, -1266, -8491,          0,          0,  4456,  4027,  3206,  2262
1830000,     0, -4960,          0,          0,  4456,  4027,  3206,  2262
1840000,  1266,  -944,          0,          0,  4456,  4027,  3206,  2262
1850000,  2408,  3165,          0,          0,  4456,  4027,  3206,  2262
1860000,  3314,  6963,          0,          0,  4456,  4027,  3206,  2262
1870000,  3896, 10080,          0,          0,  4456,  4027,  3206,  2262
1880000,  4096, 12210,          0,          0,  4456,  4027,  3206,  2262
1890000,  3896, 13145,          0,          0,  4456,  4027,  3206,  2262
1900000,  3314, 12793,          0,          0,  4456,  4027,  3206,  2262
1910000,  2408, 11189,          0,          0,  4456,  4027,  3206,  2262
1920000,  1266,  8490,          0,          0,  4456,  4027,  3206,  2262
